# filename: match_astrom_342.1914_-0.90194_run4198.dat 
# nominal center (used for x,y conversion): 342.191375, -0.901944
# source of interest
#   master_objid: 8647475119823389164
#    master_pos: 342.191518, -0.902013
#   fiducal master location (delta ra, delta dec): 0.318662, -0.248112
# converted source location (delta ra, delta dec): 0.263502, -0.155628
# source location (ra, dec): 342.191493, -0.901988
# source error (raerr, decerr): 0.026420, 0.024358
# observation time (day): 736.900364
# t0 (day): 52197.262300
master_objid,objid,master_ra,master_dec,master_dra,master_ddec,master_raerr,master_decerr,master_radeccov,ra,dec,dra,ddec,raerr,decerr,radeccov,master_rmag,rmag
8647475119823389599,8658188314445283849,342.202491,-0.902525,24.814899,-2.089188,0.010139,0.010319,0.0,342.202502,-0.902525,24.838941,-2.091780,0.059128,0.059128,0.0,21.362541,21.250500
8647475119823389859,8658188314445283822,342.181575,-0.905599,-21.877539,-13.157748,0.027814,0.022672,0.0,342.181619,-0.905573,-21.779094,-13.064328,0.192171,0.146083,0.0,21.643896,21.921667
8647475119823389559,8658188314445283826,342.181895,-0.892273,-21.162999,34.817832,0.016179,0.016443,0.0,342.181931,-0.892271,-21.082814,34.824600,0.087018,0.074840,0.0,21.950565,21.784872
8647475119823390582,8658188314445283828,342.185115,-0.871323,-13.975144,110.236500,0.071888,0.232683,0.0,342.185197,-0.871328,-13.790331,110.219508,0.400773,0.194046,0.0,22.048412,21.212605
8647475119823389154,8658188314445283829,342.186265,-0.878776,-11.407543,83.407716,0.043528,0.029167,0.0,342.186233,-0.878760,-11.479245,83.463948,0.098733,0.148998,0.0,21.491707,21.139790
8647475119823389568,8658188314445283831,342.187787,-0.913518,-8.008429,-41.665104,0.020017,0.019879,0.0,342.187802,-0.913475,-7.976753,-41.509440,0.081592,0.087460,0.0,21.653057,21.605055
8647475119823390597,8658188314445283833,342.190237,-0.893187,-2.539363,31.527828,0.026897,0.025384,0.0,342.190286,-0.893227,-2.430225,31.381524,0.153628,0.153069,0.0,22.040510,22.140970
8647475119823389716,8658188314445283805,342.168948,-0.881403,-50.064139,73.949832,0.024887,0.022459,0.0,342.168943,-0.881462,-50.075814,73.735236,0.097726,0.114968,0.0,22.355494,22.186262
8647475119823389526,8658188314445283806,342.169954,-0.923074,-47.818057,-76.068144,0.017046,0.016946,0.0,342.169915,-0.923060,-47.905898,-76.014756,0.092016,0.091932,0.0,21.925104,21.676630
8647475119823389532,8658188314445283810,342.173950,-0.928780,-38.897685,-96.607692,0.012934,0.012541,0.0,342.174014,-0.928754,-38.754974,-96.513336,0.077547,0.075349,0.0,21.653091,21.517504
